epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,123.515,0.73718,0.66757,0.79444,0.76974,0.83654,0.8466,0.64473,1.1305,0.90426,0.82827,0.000235008,0.000235008,0.000235008
155,124.054,0.7829,0.699,0.83173,0.80005,0.83569,0.90646,0.71446,1.12935,0.9092,0.82569,0.000230008,0.000230008,0.000230008
156,124.575,0.76852,0.68271,0.81078,0.78971,0.83493,0.88429,0.70106,1.13222,0.94289,0.82277,0.000225008,0.000225008,0.000225008
157,125.104,0.76637,0.70925,0.80806,0.78971,0.83493,0.88429,0.70106,1.13222,0.94289,0.82277,0.000220008,0.000220008,0.000220008
158,125.62,0.78707,0.67954,0.80133,0.80025,0.83193,0.87276,0.6934,1.13466,0.95005,0.81948,0.000215008,0.000215008,0.000215008
159,126.228,0.77971,0.70941,0.82268,0.80112,0.82818,0.8581,0.69494,1.12768,0.95529,0.81965,0.000210008,0.000210008,0.000210008
160,126.73,0.82369,0.70497,0.80872,0.80112,0.82818,0.8581,0.69494,1.12768,0.95529,0.81965,0.000205008,0.000205008,0.000205008
161,127.269,0.69971,0.66823,0.80117,0.79565,0.82804,0.84356,0.68431,1.1184,0.92133,0.81889,0.000200008,0.000200008,0.000200008
162,127.779,0.7867,0.62013,0.81227,0.79565,0.82804,0.84356,0.68431,1.1184,0.92133,0.81889,0.000195008,0.000195008,0.000195008
163,128.318,0.82623,0.70223,0.83719,0.79624,0.82911,0.8436,0.67806,1.11467,0.91484,0.81817,0.000190008,0.000190008,0.000190008
164,128.903,0.81885,0.67829,0.80623,0.79777,0.83133,0.84344,0.67939,1.14175,0.94482,0.81586,0.000185008,0.000185008,0.000185008
165,129.436,0.72106,0.67634,0.80673,0.79777,0.83133,0.84344,0.67939,1.14175,0.94482,0.81586,0.000180008,0.000180008,0.000180008
166,129.981,0.80896,0.77742,0.80081,0.76018,0.83281,0.84456,0.67873,1.13161,0.93817,0.81572,0.000175008,0.000175008,0.000175008
167,130.515,0.68693,0.66386,0.80446,0.71593,0.83371,0.78246,0.63517,1.10776,0.90092,0.81644,0.000170008,0.000170008,0.000170008
168,131.008,0.78605,0.71227,0.8182,0.71593,0.83371,0.78246,0.63517,1.10776,0.90092,0.81644,0.000165008,0.000165008,0.000165008
169,131.612,0.69384,0.62824,0.79764,0.70399,0.83479,0.6996,0.56615,1.09357,0.88595,0.81219,0.000160008,0.000160008,0.000160008
170,132.106,0.69909,0.65744,0.79579,0.70399,0.83479,0.6996,0.56615,1.09357,0.88595,0.81219,0.000155008,0.000155008,0.000155008
171,132.616,0.85222,0.75602,0.78584,0.71241,0.83534,0.70043,0.5675,1.08662,0.87256,0.81015,0.000150009,0.000150009,0.000150009
172,133.156,0.74451,0.67247,0.81772,0.71287,0.83606,0.7112,0.56294,1.07167,0.85823,0.80929,0.000145009,0.000145009,0.000145009
173,133.688,0.71255,0.68577,0.79419,0.71287,0.83606,0.7112,0.56294,1.07167,0.85823,0.80929,0.000140009,0.000140009,0.000140009
174,134.262,0.7208,0.66062,0.7871,0.70797,0.83654,0.71578,0.56157,1.06106,0.85628,0.81027,0.000135009,0.000135009,0.000135009
175,134.763,0.71581,0.71295,0.7894,0.69832,0.83654,0.71666,0.5647,1.07282,0.86175,0.81082,0.000130009,0.000130009,0.000130009
176,135.267,0.7245,0.67431,0.82485,0.69832,0.83654,0.71666,0.5647,1.07282,0.86175,0.81082,0.000125009,0.000125009,0.000125009
177,135.771,0.76592,0.6777,0.79127,0.69293,0.83654,0.71877,0.57916,1.07744,0.84959,0.81287,0.000120009,0.000120009,0.000120009
178,136.343,0.70198,0.65301,0.78596,0.69293,0.83654,0.71877,0.57916,1.07744,0.84959,0.81287,0.000115009,0.000115009,0.000115009
179,136.877,0.73947,0.63753,0.81371,0.72633,0.8328,0.74028,0.5967,1.0782,0.84977,0.8134,0.000110009,0.000110009,0.000110009
180,137.432,0.7685,0.6736,0.78108,0.72165,0.83233,0.74,0.5972,1.07251,0.82997,0.81488,0.000105009,0.000105009,0.000105009
181,137.968,0.76652,0.65573,0.79719,0.72165,0.83233,0.74,0.5972,1.07251,0.82997,0.81488,0.000100009,0.000100009,0.000100009
